num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,[1],0.01,1000,0.42894025893776017,0.18931693650958642,0.8106830634904136
2,[2],0.01,1000,0.4306205678617389,0.19127574768457498,0.808724252315425
3,[4],0.01,1000,0.4312628053830165,0.1909200065773254,0.8090799934226746
4,[8],0.01,1000,0.4300279386134138,0.1871505581711906,0.8128494418288094
5,"[1, 2]",0.01,1000,0.4328688547411146,0.19436438277039966,0.8056356172296003
6,"[2, 4]",0.01,1000,0.43249354043033045,0.19255134741938423,0.8074486525806157
7,"[4, 8]",0.01,1000,0.4317959036883363,0.18936956814957365,0.8106304318504264
8,"[1, 1]",0.01,1000,0.4327886920228134,0.19462898896546396,0.805371011034536
9,"[2, 2]",0.01,1000,0.43278477598667525,0.19397659300666942,0.8060234069933305
10,"[4, 4]",0.01,1000,0.432404096223674,0.19215078046942363,0.8078492195305764
11,"[8, 8]",0.01,1000,0.43187190558378324,0.18972521522274538,0.8102747847772547
