num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,"[1, 2]",0.1,1000,0.2618319426493241,0.1182196584026659,0.7353502191105028
2,"[1, 2]",0.01,1000,0.26915102699297017,0.12424960699760552,0.7477845718028825
3,"[1, 2]",0.1,2000,0.2615249228628183,0.1180607665834352,0.7340341842145044
4,"[1, 2]",0.01,2000,0.26547323682638363,0.12186202896373749,0.740165802360472
5,"[2, 4]",0.1,1000,0.12343440005765131,0.006955083182541139,0.5360690382299905
6,"[2, 4]",0.01,1000,0.2709635359177333,0.12525762933585205,0.7511929571955276
7,"[2, 4]",0.1,2000,0.12131878454626273,0.004625891781209535,0.5297725299768535
8,"[2, 4]",0.01,2000,0.16101375198138462,0.046764931878902,0.5631425407722626
9,"[4, 8]",0.1,1000,0.1202488368009591,0.0024873411366866716,0.5402626806459341
10,"[4, 8]",0.01,1000,0.13590141250362328,0.016811919764310193,0.5787502232827417
11,"[4, 8]",0.1,2000,0.11923869545618147,0.0014288417608110224,0.5401005363543967
12,"[4, 8]",0.01,2000,0.13635846044687938,0.019039868849208334,0.5779460722313681
13,"[8, 16]",0.1,1000,0.11997454837703739,0.0010652221249486129,0.5521388637774229
14,"[8, 16]",0.01,1000,0.14091091176093887,0.019099651269116242,0.6114937823231112
15,"[8, 16]",0.1,2000,0.11876643263423232,0.0005213652741577926,0.5450973934354522
16,"[8, 16]",0.01,2000,0.12597770367520003,0.004542220503231598,0.5940108392802519
17,"[1, 1]",0.1,1000,0.26220546470551603,0.11915114662191977,0.7338355317109071
18,"[1, 1]",0.01,1000,0.26625334632808756,0.12187948316741533,0.7437622925133383
19,"[1, 1]",0.1,2000,0.26202773629247683,0.11905776999485335,0.7328937993652478
20,"[1, 1]",0.01,2000,0.26420790289413015,0.12084400647295493,0.7384117671101467
21,"[2, 2]",0.1,1000,0.261701147470586,0.11801445748557461,0.7362002938637588
22,"[2, 2]",0.01,1000,0.26785085552767535,0.12208116183975953,0.7493529828135953
23,"[2, 2]",0.1,2000,0.26146780392711216,0.11792494814287031,0.7347892125640441
24,"[2, 2]",0.01,2000,0.2648803770135958,0.12081918447678579,0.7417855774540578
25,"[4, 4]",0.1,1000,0.12640050018372093,0.010777312041594139,0.5338685646078363
26,"[4, 4]",0.01,1000,0.15188476878125895,0.03347045818403575,0.5670229079799971
27,"[4, 4]",0.1,2000,0.11937697627527563,0.0023399188410832433,0.5257851624725969
28,"[4, 4]",0.01,2000,0.1270623270352323,0.010154394843160436,0.5514316724012556
29,"[8, 8]",0.1,1000,0.12002423692910395,0.0016124158804756707,0.5481320602590666
30,"[8, 8]",0.01,1000,0.13465216894757642,0.01445443553867173,0.5959434096610312
31,"[8, 8]",0.1,2000,0.11913400706801384,0.0012675355581970701,0.538196572848703
32,"[8, 8]",0.01,2000,0.12592186188157067,0.006553389170041644,0.577499316277304
