num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,[1],0.1,1000,0.12256528786721312,0.00505226851334236,0.5268848580573808
2,[1],0.01,1000,0.13614850019795657,0.016901310789123086,0.5587812690727412
3,[1],0.1,2000,0.12087442298705811,0.0035522728987192405,0.5220213334793822
4,[1],0.01,2000,0.13012168722601672,0.011636974695129478,0.5463053491998512
5,[2],0.1,1000,0.12170507268887756,0.0027805946521418934,0.5344475426407905
6,[2],0.01,1000,0.1339579365458955,0.009912405956599982,0.5702573800688566
7,[2],0.1,2000,0.12022356164524858,0.0019463914238338018,0.5275334176616021
8,[2],0.01,2000,0.12842230742126307,0.0065958918918798196,0.5573253347650273
9,[4],0.1,1000,0.12162947311356313,0.0011671652984699893,0.5423787398718104
10,[4],0.01,1000,0.13456662097236877,0.005229808477594507,0.5868123071138323
11,[4],0.1,2000,0.12007208960679985,0.0007455271190715545,0.5341335446067943
12,[4],0.01,2000,0.12848313676964798,0.0030928330291802404,0.5703291664004062
13,[8],0.1,1000,0.12044733380598809,0.0008173136613795206,0.5625266489399264
14,[8],0.01,1000,0.128261100411936,0.005542982328807531,0.6115572693858242
15,[8],0.1,2000,0.1195585468296465,0.0006107401379420189,0.5508027677214067
16,[8],0.01,2000,0.12576110176951166,0.0025823176339733567,0.610843598229827
