num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,"[1, 2]",0.1,1000,0.3918504464153477,0.07557691308364561,0.7818692422098206
2,"[1, 2]",0.01,1000,0.39815702034856676,0.09482503909624843,0.8042400825934033
3,"[1, 2]",0.1,2000,0.39155008431128113,0.07469974073174115,0.7808591681992805
4,"[1, 2]",0.01,2000,0.39430260148886653,0.08289630073447776,0.7902981036445567
5,"[2, 4]",0.1,1000,0.3912386281626425,0.07246950538412679,0.7777561317783354
6,"[2, 4]",0.01,1000,0.4033273016051247,0.11053831156926784,0.8203546398763819
7,"[2, 4]",0.1,2000,0.3774176786563983,0.006630144495957351,0.7491036886558828
8,"[2, 4]",0.01,2000,0.39620942324363906,0.08627500794929259,0.7966448804845951
9,"[4, 8]",0.1,1000,0.3779731146382137,0.0046324983828816505,0.7503818461583194
10,"[4, 8]",0.01,1000,0.40971292146471133,0.15539291903457353,0.8373184649732495
11,"[4, 8]",0.1,2000,0.3769206340260024,0.002984376566954041,0.7481626842351055
12,"[4, 8]",0.01,2000,0.4024262011589434,0.1081061298171904,0.8165147171548559
13,"[8, 16]",0.1,1000,0.19993149671550087,0.00202845954058703,0.5610918135043045
14,"[8, 16]",0.01,1000,0.4099878205486008,0.16086180349201024,0.8374128783736954
15,"[8, 16]",0.1,2000,0.19632659258557023,0.0015817142164759191,0.5147622927900244
16,"[8, 16]",0.01,2000,0.4064435243979609,0.11676114521066197,0.8258756246539075
17,"[1, 1]",0.1,1000,0.3916473665499882,0.07466830480993836,0.7811558273515136
18,"[1, 1]",0.01,1000,0.3955136101342017,0.08345219128606228,0.7960791811471656
19,"[1, 1]",0.1,2000,0.3914523848960545,0.07426575075961515,0.7804615272527238
20,"[1, 1]",0.01,2000,0.3932221494322652,0.07819241297862371,0.7869898657418171
21,"[2, 2]",0.1,1000,0.39176546235818754,0.0744983639516203,0.7818557557761048
22,"[2, 2]",0.01,1000,0.3976346575140436,0.08657596551813769,0.8031592970368391
23,"[2, 2]",0.1,2000,0.3915087510152025,0.07413914866221236,0.7808585289466019
24,"[2, 2]",0.01,2000,0.39412842752687055,0.07859717781134289,0.7905967593727209
25,"[4, 4]",0.1,1000,0.39200642192772966,0.074356881502982,0.7830907393543074
26,"[4, 4]",0.01,1000,0.40368155263924205,0.10881714322035725,0.8217216195349001
27,"[4, 4]",0.1,2000,0.3916139007421176,0.07399977827356458,0.7815079664310599
28,"[4, 4]",0.01,2000,0.3960442230242351,0.08504958447546952,0.796842997052592
29,"[8, 8]",0.1,1000,0.19881758477195396,0.003429352578318033,0.5624916713171422
30,"[8, 8]",0.01,1000,0.4090817367477727,0.14474155705065905,0.8358671370801127
31,"[8, 8]",0.1,2000,0.20225872012393503,0.0024265127226062192,0.5123922961940185
32,"[8, 8]",0.01,2000,0.38934036766917496,0.03861425570991113,0.7732215792159037
