num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,[1],0.1,1000,0.3676005156660454,0.052718289661156784,0.8222366708581015
2,[1],0.01,1000,0.3949149934219124,0.0840360503605987,0.83766402377488
3,[1],0.1,2000,0.3616860735070941,0.050999450259669094,0.8381258472721315
4,[1],0.01,2000,0.38187766440918236,0.052297786195539105,0.8515389044204261
5,[2],0.1,1000,0.20886929076433938,0.006798755348121293,0.5513517337812635
6,[2],0.01,1000,0.2800620726228455,0.034284468097893345,0.6974518453466347
7,[2],0.1,2000,0.2066602550401684,0.0046722832107985255,0.5294119285874006
8,[2],0.01,2000,0.23508628709365836,0.01784291865212531,0.6473542062935442
9,[4],0.1,1000,0.2090456848874322,0.006936343942120796,0.5531597519630834
10,[4],0.01,1000,0.3037207737508929,0.023408964500579853,0.7189387434232302
11,[4],0.1,2000,0.2066427996690036,0.002350522623059058,0.5298285339091542
12,[4],0.01,2000,0.2441498784334463,0.012055717503605023,0.6621637097434172
13,[8],0.1,1000,0.19828243520737304,0.003878236801535522,0.5494398393188995
14,[8],0.01,1000,0.35874349169193476,0.027301477418185754,0.7410873709103329
15,[8],0.1,2000,0.19742018517931725,0.0034369236272776,0.5264197095811218
16,[8],0.01,2000,0.22566032364569447,0.019149572813376894,0.658537035990117
