num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,[1],0.1,1000,0.4318552652167448,0.15924827461619806,0.8407519390099848
2,[1],0.01,1000,0.4317213653983175,0.1583332619976464,0.8416722015138307
3,[1],0.1,2000,0.43185349693188013,0.15925254155448507,0.8407475655337601
4,[1],0.01,2000,0.4317029892354636,0.15837834529942532,0.8416237828791607
5,[2],0.1,1000,0.43205975054578466,0.16023377793904905,0.8397673818480479
6,[2],0.01,1000,0.29022050123444604,0.039267213192370025,0.7124628546409806
7,[2],0.1,2000,0.4320555207171778,0.1602448445837593,0.8397556485192226
8,[2],0.01,2000,0.4317438737410043,0.15841075476966474,0.8415972710517758
9,[4],0.1,1000,0.22368822636145372,4.5153463566373514e-06,0.7487991343967924
10,[4],0.01,1000,0.24006196460163132,0.0016564242894038142,0.7133738318504654
11,[4],0.1,2000,0.22087202407465326,3.939820609711749e-07,0.7647770416122139
12,[4],0.01,2000,0.22931183241201325,0.0004273425259957117,0.7228642283045446
13,[8],0.1,1000,0.22623919865978262,6.408962548363565e-08,0.7351642675613593
14,[8],0.01,1000,0.28460011368175936,6.0815580300554354e-05,0.6910678024182069
15,[8],0.1,2000,0.2219751793960161,1.0366784721875698e-08,0.7596359167608837
16,[8],0.01,2000,0.2596307431094347,7.953571601720759e-06,0.6893660993034345
