num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,"[1, 2]",0.1,1000,0.6580112723199391,0.5231412155719352,0.8388846685704489
2,"[1, 2]",0.01,1000,0.8213624237370384,0.8184493069178085,0.8223898892177617
3,"[1, 2]",0.1,2000,0.6539764782908091,0.5123233624639754,0.8392505141474769
4,"[1, 2]",0.01,2000,0.8213424363753341,0.818713948877886,0.8222577399016857
5,"[2, 4]",0.1,1000,0.5137246565365482,0.4921210336120654,0.7688722109571424
6,"[2, 4]",0.01,1000,0.8216214119064077,0.8180466006033495,0.8236494932522864
7,"[2, 4]",0.1,2000,0.5171232457848673,0.4606927802315087,0.7376696917751766
8,"[2, 4]",0.01,2000,0.8216255884310449,0.8160839455877431,0.824894220110169
9,"[4, 8]",0.1,1000,0.5093383862409991,0.464178803558968,0.7532982462630882
10,"[4, 8]",0.01,1000,0.8217868693763343,0.8197791598796682,0.8231938274515362
11,"[4, 8]",0.1,2000,0.5102611471971892,0.4740847780887637,0.6433567900773418
12,"[4, 8]",0.01,2000,0.649299782295948,0.48056009396949606,0.8378665745653711
13,"[8, 16]",0.1,1000,0.5060619963288172,0.4745731497541066,0.7052170928346282
14,"[8, 16]",0.01,1000,0.8201267873485345,0.8113607922564274,0.8247706424970065
15,"[8, 16]",0.1,2000,0.509906736551545,0.48185738355338703,0.6346825522106132
16,"[8, 16]",0.01,2000,0.6234154262637385,0.4597844206784587,0.7784859049905479
17,"[1, 1]",0.1,1000,0.8224867831451992,0.8203875356665259,0.8230695622413882
18,"[1, 1]",0.01,1000,0.8212414212015058,0.818844928968782,0.8219354776979559
19,"[1, 1]",0.1,2000,0.822073722426838,0.8206114834924954,0.822509141856989
20,"[1, 1]",0.01,2000,0.8212250754168675,0.8189895790062929,0.8218332257191326
21,"[2, 2]",0.1,1000,0.654065210501723,0.5122955351498408,0.8367981919773598
22,"[2, 2]",0.01,1000,0.8215811334105768,0.8169852108857922,0.8233078239636077
23,"[2, 2]",0.1,2000,0.6364454832998292,0.5282293675709413,0.7935850071750294
24,"[2, 2]",0.01,2000,0.8214969469888506,0.817434050380357,0.8230334591379586
25,"[4, 4]",0.1,1000,0.504594313192949,0.4337300375763634,0.672492286939999
26,"[4, 4]",0.01,1000,0.8215069559329091,0.8185504842061107,0.8232768572418669
27,"[4, 4]",0.1,2000,0.5145564148293725,0.4757317647851841,0.6575172782459724
28,"[4, 4]",0.01,2000,0.8210504630681577,0.8128130318943136,0.8259194643560258
29,"[8, 8]",0.1,1000,0.5053800779170873,0.47495420074001327,0.6955447319852698
30,"[8, 8]",0.01,1000,0.8198149818355102,0.8116257804199813,0.8243818837402019
31,"[8, 8]",0.1,2000,0.5053499192231591,0.4828629020532358,0.5622254032521845
32,"[8, 8]",0.01,2000,0.6061479277720888,0.46715625442062114,0.7479810845019528
