num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,[1],0.1,1000,0.824299266352829,0.8205875009266829,0.8251299592982317
2,[1],0.01,1000,0.8213906870509934,0.8179022854407266,0.8221317146759909
3,[1],0.1,2000,0.8242978460207656,0.8205013807865665,0.8252023507300608
4,[1],0.01,2000,0.8213540665153813,0.8182149128801011,0.8220075151651466
5,[2],0.1,1000,0.6372104394091526,0.4956529246039657,0.8431651320245239
6,[2],0.01,1000,0.6722861447521075,0.5186708556038016,0.8460863951428326
7,[2],0.1,2000,0.6312825767543164,0.4948784258728026,0.8401141431453186
8,[2],0.01,2000,0.6560805874947825,0.5075980347185438,0.8420570657479802
9,[4],0.1,1000,0.503814084936505,0.4675169417210725,0.7794720153813982
10,[4],0.01,1000,0.6633703188059297,0.5171006682144883,0.8427234389352942
11,[4],0.1,2000,0.5051375589391461,0.44806959766494703,0.7499365153228953
12,[4],0.01,2000,0.5137235102567926,0.4387932436563713,0.7836048648722862
13,[8],0.1,1000,0.5072992082294899,0.4611161435804406,0.7157135609783201
14,[8],0.01,1000,0.5197179247392552,0.45683170865396683,0.7707816753238053
15,[8],0.1,2000,0.505973206546482,0.4754354566670125,0.6300854315859375
16,[8],0.01,2000,0.5119067108697836,0.403383741445865,0.7574102360220614
